group,placeName,lineNumber,station,address,lat,lng
박물관/기념관,호림박물관,2호선,신대방역,서울 관악구 신림동 1707,37.48093 ,126.91697 
공연장,홍익대 대학로 아트센터,1호선,종로5가역,서울 종로구 대학로 57,37.57651 ,127.00152 
박물관/기념관,화정박물관,3호선,경복궁역,서울 종로구 평창동 평창8길 3,37.60459 ,126.96597 
미술관,환기미술관,3호선,경복궁역,서울 종로구 부암동 210-8,37.59443 ,126.96631 
박물관/기념관,황학정 국궁전시관,3호선,경복궁역,서울 종로구 사직로9길 15-32,37.57703 ,126.96478 
유적지,효간공이정영묘역,7호선,남성역,서울 동작구 사당동 산44-7,37.48206 ,126.96850 
유적지,효령대군릉,2호선,방배역,서울 서초구 방배동 산24-2,37.48969 ,127.00012 
유적지,효령대군이보묘역,2호선,방배역,서울 서초구 효령로 135,37.48954 ,127.00010 
기타,흑석체육센터,9호선,흑석역,서울 동작구 흑석동 현충로 73,,
박물관/기념관,쇳대 박물관,1호선. 2호선,동대문역,서울 종로구 이화동 이화장길 100,37.57978 ,127.00459 
